#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
          1.15    2.8386e-8 
           1.2    6.0172e-7 
          1.25    6.8161e-8 
           1.3    1.9548e-8 
          1.35    1.2578e-8 
           1.4    1.0709e-8 
          1.45    1.6488e-8 
           1.5    1.0709e-8 
          1.55    1.2408e-8 
           1.6    1.4108e-8 
          1.65    1.2068e-8 
           1.7    9.3488e-9 
          1.75     7.819e-9 
           1.8    8.6689e-9 
          1.85    7.1391e-9 
           1.9    4.7594e-9 
          1.95    4.7594e-9 
             2    3.3996e-9 
          2.05    2.0398e-9 
           2.1    1.6998e-9 
          2.15   6.7991e-10 
           2.2    1.6998e-9 
          2.25    1.0199e-9 
           2.3   6.7991e-10 
          2.35   3.3996e-10 
          2.45   3.3996e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei4.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  33
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.1903e-8 
         0.005     2.534e-8 
          0.01    3.1159e-8 
          0.05    2.9656e-8 
           0.1    3.0483e-8 
          0.15    3.1933e-8 
           0.2    3.3832e-8 
          0.25    5.0532e-8 
           0.3    4.3455e-8 
          0.35    4.9311e-8 
           0.4    4.0061e-8 
          0.45    3.1483e-8 
           0.5    3.9619e-8 
          0.55    3.2938e-8 
           0.6     3.389e-8 
          0.65    1.6413e-8 
           0.7    1.7139e-7 
          0.75    8.9357e-9 
           0.8    5.5098e-9 
          0.85    8.3543e-9 
           0.9    4.7888e-9 
          0.95    4.1177e-9 
             1    4.3428e-9 
          1.05    3.5634e-9 
           1.1    5.1784e-9 
          1.15    3.5634e-9 
           1.2    2.0047e-9 
          1.25     1.392e-9 
           1.3   7.5019e-10 
          1.35    1.0586e-9 
           1.4   6.1266e-10 
          1.45   7.7937e-10 
           1.5   1.6671e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei5.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  67
#data...
#            X            Y
#          MeV      b/eV/sr
          1e-5    7.8511e-8 
        0.0001    9.4089e-9 
         0.001    1.8674e-8 
         0.005    8.7138e-8 
          0.01    2.9113e-7 
          0.05    3.6524e-7 
           0.1    1.2695e-7 
          0.15    1.0543e-7 
           0.2    8.2958e-8 
          0.25    1.0725e-7 
           0.3    1.0883e-7 
          0.35    1.1557e-7 
           0.4    1.0143e-7 
          0.45    7.2401e-8 
           0.5    8.9207e-8 
          0.55    7.1047e-8 
           0.6    7.3341e-8 
          0.65    7.1883e-8 
           0.7     5.769e-8 
          0.75     5.047e-8 
           0.8    7.2814e-8 
          0.85    5.6608e-8 
           0.9    6.0161e-8 
          0.95      5.14e-8 
             1    2.8737e-8 
          1.05    4.9577e-8 
           1.1    2.6434e-8 
          1.15    5.3082e-8 
           1.2    3.4019e-8 
          1.25      3.87e-8 
           1.3    1.8942e-8 
          1.35    1.6968e-8 
           1.4    3.4207e-8 
          1.45    5.0168e-8 
           1.5    2.6988e-8 
          1.55    1.8603e-8 
           1.6    1.1253e-8 
          1.65    2.9563e-8 
           1.7    4.1371e-9 
          1.75    3.9029e-8 
           1.8    1.2193e-8 
          1.85    1.4298e-8 
           1.9    1.7663e-8 
          1.95    1.4382e-8 
             2    1.6454e-9 
          2.05   8.9324e-10 
           2.1    1.4574e-9 
          2.15   8.9324e-10 
           2.2   5.1714e-10 
          2.25   8.9324e-10 
           2.3   5.6415e-10 
          2.35   7.9921e-10 
           2.4    1.0286e-7 
          2.45    3.5918e-8 
           2.5    8.0072e-7 
          2.55    8.4788e-9 
           2.6   4.2311e-10 
          2.65   6.5817e-10 
           2.7   4.2311e-10 
          2.75    3.761e-10 
           2.8   5.6415e-10 
          2.85   2.3506e-10 
           2.9   9.4025e-11 
             3   1.4104e-10 
          3.05   1.4104e-10 
           3.1   2.8207e-10 
          3.25   1.4104e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei5.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  62
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    2.5959e-8 
         0.001    9.7345e-9 
         0.005    4.6726e-9 
          0.01    7.1062e-8 
          0.05    7.9901e-8 
           0.1    7.4917e-8 
          0.15    6.8531e-8 
           0.2    5.9498e-8 
          0.25    5.9342e-8 
           0.3     6.931e-8 
          0.35    7.7098e-8 
           0.4    6.4793e-8 
          0.45    7.4294e-8 
           0.5    6.0588e-8 
          0.55    6.8998e-8 
           0.6    5.5604e-8 
          0.65    6.5416e-8 
           0.7    5.8719e-8 
          0.75    4.6103e-8 
           0.8      5.28e-8 
          0.85     4.657e-8 
           0.9    4.8595e-8 
          0.95    3.1929e-8 
             1    3.8627e-8 
          1.05    3.7381e-8 
           1.1    3.7225e-8 
          1.15    3.2085e-8 
           1.2    3.1618e-8 
          1.25    2.4142e-8 
           1.3    1.9625e-8 
          1.35     3.115e-8 
           1.4    2.7568e-8 
          1.45    2.4453e-8 
           1.5     2.788e-8 
          1.55    2.7101e-8 
           1.6    1.2927e-8 
          1.65    1.1214e-8 
           1.7    1.3706e-8 
          1.75    8.8779e-9 
           1.8     1.137e-8 
          1.85    1.0124e-8 
           1.9    8.0991e-9 
          1.95    1.1214e-8 
             2    7.7876e-9 
          2.05    6.5416e-9 
           2.1    4.5651e-7 
          2.15    1.8628e-7 
           2.2    7.3204e-9 
          2.25    4.6726e-9 
           2.3    4.8283e-9 
          2.35    3.2708e-9 
           2.4    5.2956e-9 
          2.45    3.4266e-9 
           2.5    5.7628e-9 
          2.55    3.2708e-9 
           2.6    1.7133e-9 
          2.65    1.5575e-9 
           2.7    2.8035e-9 
          2.75   7.7876e-10 
           2.8     1.246e-9 
          2.85   4.6726e-10 
           2.9   4.6726e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei5.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  41
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.2133e-8 
         0.005    3.3168e-8 
          0.01    1.8808e-8 
          0.05    3.0101e-8 
           0.1     3.273e-8 
          0.15     3.911e-8 
           0.2    3.7609e-8 
          0.25    3.9079e-8 
           0.3    3.6992e-8 
          0.35    3.2415e-8 
           0.4     2.591e-8 
          0.45    2.9494e-8 
           0.5    2.4497e-8 
          0.55    2.1886e-8 
           0.6     1.923e-8 
          0.65    1.3953e-8 
           0.7    1.6685e-8 
          0.75    1.3905e-8 
           0.8    1.8549e-8 
          0.85     1.054e-8 
           0.9    1.3393e-8 
          0.95    7.7505e-9 
             1    6.6603e-9 
          1.05    6.0721e-9 
           1.1    4.8195e-9 
          1.15    4.9016e-9 
           1.2    4.5904e-9 
          1.25    7.1968e-9 
           1.3    1.4184e-7 
          1.35    7.0863e-8 
           1.4    2.6007e-9 
          1.45    1.7586e-9 
           1.5    3.5975e-9 
          1.55     2.425e-9 
           1.6    2.1673e-9 
          1.65    3.0876e-9 
           1.7   1.5276e-10 
          1.75    1.8637e-9 
           1.8   6.1295e-10 
          1.85   8.4208e-10 
           1.9   2.2913e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei6.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  46
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.8519e-9 
         0.005    2.0294e-8 
          0.01    3.9581e-8 
          0.05    1.2786e-7 
           0.1     1.292e-7 
           0.2    9.8785e-8 
           0.3       6.9e-8 
           0.4    6.5063e-8 
           0.5    5.9255e-8 
           0.6    7.7415e-8 
           0.7    5.5922e-8 
           0.8    7.3212e-8 
           0.9    7.2568e-8 
             1    5.7995e-8 
           1.1    5.0114e-8 
           1.2    4.7374e-8 
           1.3    2.0059e-8 
           1.4    2.6283e-8 
           1.5    1.6708e-8 
           1.6    1.0834e-8 
           1.7    1.7579e-8 
           1.8     2.314e-8 
           1.9    1.2202e-8 
             2    1.5856e-8 
           2.1    2.0173e-8 
