#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
           6.6    4.6616e-9 
           6.8    4.3238e-9 
             7    6.3843e-9 
           7.2    4.9656e-9 
           7.4    5.9452e-9 
           7.6     5.979e-9 
           7.8    4.6278e-9 
             8    4.4927e-9 
           8.2    2.1619e-9 
           8.4    2.2294e-9 
           8.6     1.993e-9 
           8.8     1.689e-9 
             9    1.4187e-9 
           9.2    1.4525e-9 
           9.4    2.6348e-9 
           9.6    7.6139e-8 
           9.8    2.8138e-8 
            10   3.7157e-10 
          10.2    1.1823e-9 
          10.4   7.4315e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.35E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  41
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    5.0875e-9 
          0.01    9.0983e-9 
          0.05    1.6335e-8 
           0.1    1.7185e-8 
           0.2    1.6371e-8 
           0.4    1.1194e-8 
           0.6    4.8597e-9 
           0.8    4.8233e-9 
             1    5.6594e-9 
           1.2    3.7163e-9 
           1.4    4.7098e-9 
           1.6    5.9849e-9 
           1.8    4.7579e-9 
             2    6.2429e-9 
           2.2     5.283e-9 
           2.4    4.8477e-9 
           2.6      4.42e-9 
           2.8    5.3103e-9 
             3    3.6385e-9 
           3.2    3.6066e-9 
           3.4    2.9047e-9 
           3.6    2.7825e-9 
           3.8    4.8867e-9 
             4    2.5551e-9 
           4.2    3.0939e-9 
           4.4     2.351e-9 
           4.6    2.6773e-9 
           4.8    2.5783e-9 
             5    1.9973e-9 
           5.2    2.9163e-9 
           5.4      2.44e-9 
           5.6    1.0221e-9 
           5.8   7.2389e-10 
             6    7.359e-10 
           6.2    1.6172e-9 
           6.4    1.1848e-9 
           6.6   7.9678e-10 
           6.8    1.8114e-8 
             7    7.8538e-9 
           7.2   7.3052e-10 
           7.4   2.1534e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.40E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  64
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    9.1986e-8 
          0.01    1.3068e-8 
          0.05    1.4504e-8 
           0.1    4.7419e-8 
           0.2    4.9143e-8 
           0.4    4.3288e-8 
           0.6    5.3401e-8 
           0.8    2.2368e-8 
             1    3.2976e-8 
           1.2    2.6866e-8 
           1.4     2.307e-8 
           1.6    2.0716e-8 
           1.8    1.8669e-8 
             2    1.9525e-8 
           2.2    2.0147e-8 
           2.4    5.6848e-9 
           2.6    7.7111e-9 
           2.8    5.9965e-9 
             3    8.4784e-9 
           3.2    6.0573e-9 
           3.4    3.1197e-9 
           3.6    5.4013e-9 
           3.8    7.3567e-9 
             4    1.2339e-8 
           4.2    3.5753e-9 
           4.4    1.3468e-8 
           4.6    3.3729e-9 
           4.8    1.1238e-9 
             5    7.1239e-9 
           5.2    5.0672e-9 
           5.4    3.5247e-9 
           5.6    5.4903e-9 
           5.8     3.221e-9 
             6    1.3567e-9 
           6.2    1.4377e-9 
           6.4    1.1976e-8 
           6.6    3.8892e-9 
           6.8    5.9763e-9 
             7    3.5146e-9 
           7.2    7.6706e-9 
           7.4    9.7273e-9 
           7.6    7.9013e-9 
           7.8    5.1359e-9 
             8    8.0734e-9 
           8.2    9.9985e-9 
           8.4    3.4032e-9 
           8.6    4.8141e-9 
           8.8     8.124e-9 
             9    5.4397e-9 
           9.2    7.5469e-9 
           9.4    7.5874e-9 
           9.6    6.6379e-9 
           9.8   3.2399e-10 
            10    4.7512e-9 
          10.2    4.8524e-9 
          10.4    2.0082e-9 
          10.6   4.3536e-10 
          10.8    2.3199e-9 
            11    2.3402e-9 
          11.2    2.3256e-8 
          11.4    1.8251e-7 
          11.6   8.0996e-11 
          11.8    1.6944e-9 
            12   4.0498e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.40E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  58
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    5.3668e-9 
          0.01    1.7275e-8 
          0.05    3.0457e-8 
           0.1    3.2134e-8 
           0.2    3.2067e-8 
           0.4    2.8411e-8 
           0.6    2.5157e-8 
           0.8     2.992e-8 
             1     2.348e-8 
           1.2    1.8583e-8 
           1.4    1.4289e-8 
           1.6    1.1103e-8 
           1.8    1.0063e-8 
             2    8.1844e-9 
           2.2    1.0063e-8 
           2.4    8.2851e-9 
           2.6    9.2914e-9 
           2.8    8.8553e-9 
             3    8.4863e-9 
           3.2    6.9098e-9 
           3.4    6.5409e-9 
           3.6    5.4339e-9 
           3.8    5.8365e-9 
             4    6.3061e-9 
           4.2     6.239e-9 
           4.4     6.239e-9 
           4.6     5.501e-9 
           4.8    6.9098e-9 
             5    6.5073e-9 
           5.2    6.3396e-9 
           5.4     4.696e-9 
           5.6     5.132e-9 
           5.8    8.3522e-9 
             6    7.6478e-9 
           6.2    7.1782e-9 
           6.4    6.2725e-9 
           6.6    7.0775e-9 
           6.8    5.2327e-9 
             7    4.7295e-9 
           7.2    4.4276e-9 
           7.4     5.501e-9 
           7.6    5.6017e-9 
           7.8    7.2117e-9 
             8    4.7966e-9 
           8.2    4.4947e-9 
           8.4    4.9308e-9 
           8.6    2.2474e-9 
           8.8     2.348e-9 
             9    2.2474e-9 
           9.2    1.6771e-9 
           9.4     1.174e-9 
           9.6    1.0063e-9 
           9.8    1.4088e-9 
            10    5.6553e-8 
          10.2    4.5316e-8 
          10.4    1.0734e-9 
          10.6   2.6834e-10 
          10.8   1.3417e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.40E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  42
#data...
#            X            Y
#          MeV      b/eV/sr
          0.01    6.2917e-9 
          0.05    9.4483e-9 
           0.1    1.7626e-8 
           0.2     1.527e-8 
           0.4    1.1703e-8 
           0.6    8.8606e-9 
           0.8    5.5001e-9 
             1    4.0501e-9 
           1.2    5.8735e-9 
           1.4    5.7584e-9 
           1.6    5.2748e-9 
           1.8    5.2624e-9 
             2    4.1427e-9 
           2.2    2.8292e-9 
           2.4    4.4499e-9 
           2.6    4.7854e-9 
           2.8    4.8557e-9 
             3     3.055e-9 
           3.2    4.7028e-9 
           3.4    5.2464e-9 
           3.6    4.2418e-9 
           3.8      4.28e-9 
             4    4.5444e-9 
           4.2    3.5221e-9 
           4.4    3.7796e-9 
           4.6    3.5719e-9 
           4.8    2.7342e-9 
             5    1.7407e-9 
           5.2    2.5323e-9 
           5.4    2.6758e-9 
           5.6    1.7144e-9 
           5.8    1.8003e-9 
             6   9.9392e-10 
           6.2    1.3903e-9 
           6.4    1.4508e-9 
           6.6    1.1045e-9 
           6.8    1.7913e-9 
             7    1.3425e-8 
           7.2    1.0129e-8 
           7.4    4.836e-10 
           7.6   3.4584e-10 
           7.8   1.9739e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.41E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  65
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    4.2766e-9 
         0.005    1.1276e-8 
          0.01     2.427e-8 
          0.05    2.2408e-8 
           0.1    5.7384e-8 
           0.2    3.4004e-8 
           0.4    4.7986e-8 
           0.6     3.811e-8 
           0.8    3.9815e-8 
             1    3.5573e-8 
           1.2    1.9728e-8 
           1.4    3.0231e-8 
           1.6     2.943e-8 
           1.8    1.5737e-8 
             2    2.7425e-8 
           2.2    1.7575e-8 
           2.4    1.4514e-8 
           2.6    3.7106e-9 
           2.8    7.4956e-9 
             3    8.2413e-9 
           3.2    3.7915e-9 
           3.4    1.2347e-8 
           3.6    8.2918e-9 
           3.8    4.9169e-9 
             4    1.4019e-8 
           4.2    1.0355e-8 
           4.4   7.8834e-10 
           4.6    9.9406e-9 
           4.8    5.1068e-9 
             5    1.0696e-8 
           5.2     3.276e-9 
           5.4    5.6222e-9 
           5.6     7.253e-9 
           5.8    2.8133e-9 
             6    7.1014e-9 
           6.2    2.6111e-9 
           6.4    5.7738e-9 
           6.6    6.8913e-9 
           6.8    1.1705e-8 
             7    1.2269e-8 
           7.2    1.9065e-8 
           7.4    7.1317e-9 
           7.6    1.2418e-8 
           7.8    2.7425e-9 
             8    9.2151e-9 
           8.2    1.0001e-8 
           8.4     3.276e-9 
           8.6    5.1573e-9 
           8.8    1.1885e-8 
             9    1.4603e-8 
           9.2    1.6767e-8 
           9.4    3.1042e-9 
           9.6    9.1242e-9 
           9.8    4.9855e-9 
            10   3.6385e-10 
          10.2    2.3563e-9 
          10.4    6.9678e-9 
          10.6    4.7328e-9 
          10.8   3.6385e-10 
            11   2.4257e-10 
          11.2    1.9931e-8 
          11.4    5.7711e-9 
          11.6    1.3757e-7 
          11.8    4.6216e-9 
            12   9.0962e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.41E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  60
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    2.0091e-8 
         0.005    1.0715e-8 
          0.01    1.3896e-8 
          0.05    2.7189e-8 
           0.1    3.2145e-8 
           0.2    2.7223e-8 
           0.4    2.9667e-8 
           0.6    2.4276e-8 
           0.8    2.4913e-8 
             1    2.5415e-8 
           1.2     2.056e-8 
           1.4    1.5771e-8 
           1.6    1.5771e-8 
           1.8    1.0615e-8 
             2    1.0749e-8 
           2.2     7.534e-9 
           2.4    8.4716e-9 
           2.6    7.8354e-9 
           2.8    9.2752e-9 
             3     9.744e-9 
           3.2    6.6299e-9 
           3.4    8.1702e-9 
           3.6    5.8598e-9 
           3.8    6.8643e-9 
             4      4.42e-9 
           4.2    5.9268e-9 
           4.4    5.8598e-9 
           4.6    5.0227e-9 
           4.8    5.1566e-9 
             5     6.563e-9 
           5.2    5.4245e-9 
           5.4    7.0317e-9 
           5.6    6.0607e-9 
           5.8    7.5005e-9 
             6    8.2372e-9 
           6.2    7.1992e-9 
           6.4    5.5584e-9 
           6.6    5.9268e-9 
           6.8     6.429e-9 
             7     5.324e-9 
           7.2     6.496e-9 
           7.4    6.4625e-9 
           7.6    4.3865e-9 
           7.8    4.6544e-9 
             8    7.4001e-9 
           8.2    4.6209e-9 
           8.4    2.9801e-9 
           8.6    3.0471e-9 
           8.8    2.1765e-9 
             9    2.4109e-9 
           9.2    2.1095e-9 
           9.4    1.9756e-9 
           9.6    1.5738e-9 
           9.8    1.4398e-9 
            10    9.1747e-9 
          10.2    8.9337e-8 
          10.4     1.172e-9 
          10.6   5.0227e-10 
          10.8   5.3575e-10 
            11   1.0045e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.41E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  44
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.4938e-9 
         0.005    6.3608e-9 
          0.01    9.9302e-9 
          0.05     1.525e-8 
           0.1    1.4393e-8 
           0.2    1.3469e-8 
           0.4    1.1562e-8 
           0.6    8.0739e-9 
           0.8    5.2984e-9 
             1    5.5398e-9 
           1.2    2.9778e-9 
           1.4    6.4019e-9 
           1.6    6.7516e-9 
           1.8    4.5398e-9 
             2    3.2073e-9 
           2.2     5.234e-9 
           2.4    3.1137e-9 
           2.6    4.3883e-9 
           2.8    4.0907e-9 
             3    4.1465e-9 
           3.2    4.6121e-9 
           3.4    4.4261e-9 
           3.6    2.7906e-9 
           3.8    4.4934e-9 
             4    3.2192e-9 
           4.2    4.2011e-9 
           4.4    2.5883e-9 
           4.6    3.1966e-9 
           4.8    3.0649e-9 
             5     3.264e-9 
           5.2    2.4676e-9 
           5.4    2.7795e-9 
           5.6    2.0497e-9 
           5.8    1.8099e-9 
             6    3.514e-10 
           6.2   7.8982e-10 
           6.4    1.1412e-9 
           6.6      1.47e-9 
           6.8      1.25e-9 
             7    1.4536e-9 
           7.2    1.8812e-8 
           7.4    6.5373e-9 
           7.6   2.4138e-10 
             8   6.5681e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.45E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  65
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.7397e-9 
         0.005    1.4378e-8 
          0.01    2.4299e-8 
          0.05    2.0401e-8 
           0.1    4.3512e-8 
           0.2     3.776e-8 
           0.4    4.0305e-8 
           0.6    2.5515e-8 
           0.8    2.8597e-8 
             1    2.6916e-8 
           1.2    1.2333e-8 
           1.4    2.5213e-8 
           1.6    1.8256e-8 
           1.8    1.8449e-8 
             2     1.761e-8 
           2.2    1.5173e-8 
           2.4    1.3507e-8 
           2.6    1.2976e-8 
           2.8    1.2317e-8 
             3    5.7912e-9 
           3.2    1.0501e-8 
           3.4     1.474e-8 
           3.6    1.2165e-8 
           3.8    7.8355e-9 
             4     1.016e-8 
           4.2    1.1896e-8 
           4.4    1.2195e-8 
           4.6   9.1133e-10 
           4.8    5.5508e-9 
             5    5.1803e-9 
           5.2    2.7954e-9 
           5.4    4.7819e-9 
           5.6      9.96e-9 
           5.8    6.9085e-9 
             6    5.9915e-9 
           6.2    1.1117e-8 
           6.4    1.0301e-8 
           6.6    8.5266e-9 
           6.8    3.3463e-9 
             7     1.465e-8 
           7.2    5.0344e-9 
           7.4    1.0681e-8 
           7.6    1.2087e-8 
           7.8     1.012e-8 
             8    1.2445e-8 
           8.2    5.4908e-9 
           8.4    1.4239e-8 
           8.6         1e-8 
           8.8    5.2905e-9 
             9    5.5508e-9 
           9.2    9.4915e-9 
           9.4    7.2669e-9 
           9.6    1.1716e-8 
           9.8   3.5051e-10 
            10    7.1746e-9 
          10.2    6.7361e-9 
          10.4    2.5952e-9 
          10.6    2.7554e-9 
          10.8    4.807e-10 
            11    2.7954e-9 
          11.2   1.6023e-10 
          11.4     2.475e-9 
          11.6    2.5709e-8 
          11.8    3.6854e-9 
            12    1.7159e-7 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.45E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  62
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.6357e-9 
         0.005    1.5926e-8 
          0.01      2.14e-8 
          0.05    2.5348e-8 
           0.1    2.4685e-8 
           0.2    2.6277e-8 
           0.4    2.4751e-8 
           0.6    2.3723e-8 
           0.8     1.785e-8 
             1    1.7352e-8 
           1.2    1.9609e-8 
           1.4     1.868e-8 
           1.6    1.6025e-8 
           1.8    1.3869e-8 
             2    1.1778e-8 
           2.2    1.1413e-8 
           2.4    8.5601e-9 
           2.6    8.1951e-9 
           2.8    9.7214e-9 
             3    6.5694e-9 
           3.2    5.6404e-9 
           3.4    5.1427e-9 
           3.6    4.5787e-9 
           3.8    4.9768e-9 
             4    5.5408e-9 
           4.2    5.3086e-9 
           4.4    3.5501e-9 
           4.6    4.9768e-9 
           4.8    4.7114e-9 
             5    6.4698e-9 
           5.2    7.0339e-9 
           5.4     5.574e-9 
           5.6    5.3086e-9 
           5.8    5.3749e-9 
             6     6.868e-9 
           6.2    6.6026e-9 
           6.4    7.2661e-9 
           6.6    8.1951e-9 
           6.8    6.2044e-9 
             7    5.4745e-9 
           7.2    5.7067e-9 
           7.4    6.0717e-9 
           7.6    4.6782e-9 
           7.8    4.4791e-9 
             8    4.7777e-9 
           8.2    6.5362e-9 
           8.4    6.7353e-9 
           8.6    4.7114e-9 
           8.8    2.8534e-9 
             9     3.152e-9 
           9.2    1.5594e-9 
           9.4    2.0571e-9 
           9.6    1.5262e-9 
           9.8    1.7253e-9 
            10    1.5594e-9 
          10.2    1.0617e-9 
          10.4    3.3511e-8 
          10.6    6.7552e-8 
          10.8   6.3039e-10 
            11   6.3039e-10 
          11.2   1.3271e-10 
          11.6   1.3271e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.45E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  43
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005     8.906e-9 
          0.01    9.5955e-9 
          0.05      1.65e-8 
           0.1    1.0239e-8 
           0.2    1.3012e-8 
           0.4    1.4359e-8 
           0.6    1.0556e-8 
           0.8    8.1974e-9 
             1    6.1953e-9 
           1.2    5.3773e-9 
           1.4    3.9281e-9 
           1.6     5.885e-9 
           1.8    5.2012e-9 
             2    5.4412e-9 
           2.2    4.2616e-9 
           2.4    3.1369e-9 
           2.6    2.5317e-9 
           2.8    2.4503e-9 
             3    3.7292e-9 
           3.2    3.9016e-9 
           3.4    5.1959e-9 
           3.6    5.3436e-9 
           3.8    2.4117e-9 
             4    5.2004e-9 
           4.2    5.1187e-9 
           4.4    3.8679e-9 
           4.6    4.2201e-9 
           4.8    3.0873e-9 
             5    3.3098e-9 
           5.2    2.3088e-9 
           5.4    2.6956e-9 
           5.6    2.4015e-9 
           5.8    1.8695e-9 
             6    1.1084e-9 
           6.2    1.5656e-9 
           6.4   9.6686e-10 
           6.6    1.1519e-9 
           6.8   8.4769e-10 
             7   7.6633e-10 
           7.2    1.2662e-9 
           7.4    9.7485e-9 
           7.6    7.5119e-9 
           7.8   6.5081e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.50E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  69
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.1628e-9 
         0.005    1.8239e-8 
          0.01    3.8289e-8 
          0.05    1.5127e-8 
           0.1     3.389e-8 
           0.2    3.2956e-8 
           0.4    3.7463e-8 
           0.6    4.3831e-8 
           0.8    1.4421e-8 
             1    1.4783e-8 
           1.2    2.3279e-8 
           1.4    1.1744e-8 
           1.6    1.8617e-8 
           1.8    1.2974e-8 
             2    1.6181e-8 
           2.2    2.0383e-8 
           2.4    2.8624e-8 
           2.6    1.5644e-8 
           2.8    1.0062e-8 
             3    1.6362e-8 
           3.2    2.1425e-8 
           3.4     9.235e-9 
           3.6    6.7085e-9 
           3.8    8.2635e-9 
             4    8.1507e-9 
           4.2      7.67e-9 
           4.4    3.6733e-9 
           4.6    1.1007e-8 
           4.8    8.5811e-9 
             5    5.3626e-9 
           5.2    1.0496e-8 
           5.4    3.2609e-9 
           5.6     1.295e-8 
           5.8    5.0932e-9 
             6   9.7584e-10 
           6.2    6.5576e-9 
           6.4    1.2039e-8 
           6.6    4.0736e-9 
           6.8     5.566e-9 
             7    6.5777e-9 
           7.2     2.201e-9 
           7.4    6.0992e-9 
           7.6    6.5497e-9 
           7.8    1.8876e-8 
             8     1.647e-8 
           8.2       6.6e-9 
           8.4    1.4437e-8 
           8.6    1.3242e-8 
           8.8    1.0957e-8 
             9     9.064e-9 
           9.2    5.7349e-9 
           9.4    3.8321e-9 
           9.6    8.2836e-9 
           9.8    1.2464e-8 
            10    6.1876e-9 
          10.2    1.8803e-8 
          10.4    1.0224e-8 
          10.6    5.8656e-9 
          10.8   3.8229e-10 
            11   2.1126e-10 
          11.2   2.1126e-10 
          11.4    4.7109e-9 
          11.6   2.3138e-10 
          11.8    3.1179e-9 
            12    2.6257e-9 
          12.2    2.6296e-8 
          12.4    1.8299e-7 
          12.6    5.0508e-9 
            13    2.2448e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.50E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  62
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    5.3327e-9 
          0.01    1.8331e-8 
          0.05    1.6131e-8 
           0.1    2.9263e-8 
           0.2    2.3131e-8 
           0.4    2.3531e-8 
           0.6    2.1398e-8 
           0.8    1.3765e-8 
             1    1.3298e-8 
           1.2    1.0299e-8 
           1.4    1.1699e-8 
           1.6    1.5465e-8 
           1.8    2.0631e-8 
             2    1.8164e-8 
           2.2    1.6798e-8 
           2.4    1.3498e-8 
           2.6    1.0066e-8 
           2.8    9.8655e-9 
             3    6.6992e-9 
           3.2    6.8325e-9 
           3.4    7.3325e-9 
           3.6    6.5326e-9 
           3.8     5.966e-9 
             4    6.4659e-9 
           4.2    4.3328e-9 
           4.4    3.0996e-9 
           4.6    4.4995e-9 
           4.8    5.6327e-9 
             5    4.7994e-9 
           5.2    4.6328e-9 
           5.4    4.8661e-9 
           5.6    5.8993e-9 
           5.8    5.4327e-9 
             6    5.9326e-9 
           6.2    5.1994e-9 
           6.4     6.166e-9 
           6.6    7.6658e-9 
           6.8    6.3993e-9 
             7    7.1992e-9 
           7.2    6.2659e-9 
           7.4    5.3994e-9 
           7.6    4.6661e-9 
           7.8    4.0662e-9 
             8    3.7662e-9 
           8.2    4.5995e-9 
           8.4    4.0329e-9 
           8.6    3.6329e-9 
           8.8    5.7327e-9 
             9    4.1662e-9 
           9.2    2.7663e-9 
           9.4    2.4331e-9 
           9.6    3.3663e-9 
           9.8    1.4665e-9 
            10    1.2998e-9 
          10.2    1.3998e-9 
          10.4    1.0332e-9 
          10.6    1.3332e-9 
          10.8    1.0865e-8 
            11    7.9058e-8 
          11.2   2.9997e-10 
          11.6   1.6665e-10 
          12.4   1.6665e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.50E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  46
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.1584e-8 
         0.005    3.2688e-9 
          0.01    1.0291e-8 
          0.05    9.0613e-9 
           0.1    1.0424e-8 
           0.2     1.258e-8 
           0.4    8.8762e-9 
           0.6    1.3223e-8 
           0.8    1.0652e-8 
             1     9.467e-9 
           1.2    5.5142e-9 
           1.4    6.2513e-9 
           1.6    3.8977e-9 
           1.8    4.5588e-9 
             2    6.7424e-9 
           2.2    4.0011e-9 
           2.4    4.7562e-9 
           2.6    2.9363e-9 
           2.8     3.505e-9 
             3    2.4435e-9 
           3.2    2.9738e-9 
           3.4    3.9978e-9 
           3.6    4.4865e-9 
           3.8    3.6452e-9 
             4    3.1434e-9 
           4.2    4.1433e-9 
           4.4    3.6575e-9 
           4.6    3.1945e-9 
           4.8     2.106e-9 
             5    3.5647e-9 
           5.2     3.002e-9 
           5.4   8.5644e-10 
           5.6    2.4995e-9 
           5.8    2.0524e-9 
             6    2.6094e-9 
           6.2    1.7909e-9 
           6.4    1.2552e-9 
           6.6    1.1678e-9 
           6.8    1.5343e-9 
             7    1.0812e-9 
           7.2   8.1313e-10 
           7.4   9.5615e-10 
           7.6    4.5789e-9 
           7.8    9.8258e-9 
             8    3.0515e-9 
           8.2   6.5376e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.60E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  73
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    3.1946e-9 
         0.005    9.0009e-9 
          0.01    1.3695e-8 
          0.05    4.9203e-8 
           0.1    4.1405e-8 
           0.2    4.0923e-8 
           0.4    4.0061e-8 
           0.6    2.7852e-8 
           0.8    2.9512e-8 
             1    1.8979e-8 
           1.2    2.1174e-8 
           1.4    1.3911e-8 
           1.6    1.3408e-8 
           1.8    1.2793e-8 
             2    1.2926e-8 
           2.2    1.0253e-9 
           2.4    3.3543e-9 
           2.6    5.8883e-9 
           2.8    1.7205e-8 
             3    2.0434e-8 
           3.2    9.4373e-9 
           3.4    2.0887e-8 
           3.6    2.0867e-8 
           3.8    1.3408e-8 
             4    2.2068e-8 
           4.2    1.0874e-8 
           4.4    2.6162e-8 
           4.6    8.2172e-9 
           4.8    5.3961e-9 
             5   6.9723e-10 
           5.2      5.15e-9 
           5.4    9.023e-10 
           5.6   9.4331e-10 
           5.8    2.8724e-9 
             6    2.8621e-9 
           6.2    3.3132e-9 
           6.4    3.0364e-9 
           6.6    5.3961e-9 
           6.8    3.4773e-9 
             7    5.2731e-9 
           7.2   9.8433e-10 
           7.4    1.2383e-8 
           7.6    3.6824e-9 
           7.8    1.2301e-8 
             8    5.6627e-9 
           8.2    1.5163e-8 
           8.4    1.2916e-8 
           8.6    8.2582e-9 
           8.8    1.2321e-8 
             9     1.226e-8 
           9.2    1.4599e-8 
           9.4     1.267e-8 
           9.6    1.0218e-8 
           9.8    1.2383e-8 
            10     7.561e-9 
          10.2      1.03e-8 
          10.4    3.1492e-9 
          10.6    5.5294e-9 
          10.8    6.2164e-9 
            11    5.7652e-9 
          11.2     1.226e-8 
          11.4      5.15e-9 
          11.6    9.6028e-9 
          11.8    5.1603e-9 
            12    2.8211e-9 
          12.2     3.106e-9 
          12.4   1.2304e-10 
          12.6    6.9868e-9 
          12.8   1.6405e-10 
            13    7.3312e-9 
          13.2    1.9749e-8 
          13.4    1.5562e-7 
          13.6   4.1014e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.60E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  67
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.7939e-9 
         0.005     1.087e-8 
          0.01    1.5117e-8 
          0.05    2.5002e-8 
           0.1    2.4254e-8 
           0.2    2.8569e-8 
           0.4    2.7142e-8 
           0.6    2.0246e-8 
           0.8    1.9635e-8 
             1    1.4301e-8 
           1.2    1.2365e-8 
           1.4    1.2093e-8 
           1.6    9.9192e-9 
           1.8    9.4096e-9 
             2    8.4245e-9 
           2.2    8.8321e-9 
           2.4     1.155e-8 
           2.6    1.7121e-8 
           2.8    1.9465e-8 
             3    1.5592e-8 
           3.2    9.7833e-9 
           3.4    1.0225e-8 
           3.6    8.2886e-9 
           3.8    6.7939e-9 
             4    6.1146e-9 
           4.2    5.1974e-9 
           4.4    2.8535e-9 
           4.6    5.4691e-9 
           4.8    4.3481e-9 
             5    4.1104e-9 
           5.2    4.7558e-9 
           5.4     4.484e-9 
           5.6    3.7027e-9 
           5.8    4.2123e-9 
             6    4.7897e-9 
           6.2    3.2611e-9 
           6.4    6.3863e-9 
           6.6    6.9298e-9 
           6.8    4.6199e-9 
             7    6.7939e-9 
           7.2    6.1146e-9 
           7.4     5.571e-9 
           7.6    7.4733e-9 
           7.8    7.2356e-9 
             8    7.2016e-9 
           8.2    4.0764e-9 
           8.4    3.9405e-9 
           8.6    4.2123e-9 
           8.8    2.8535e-9 
             9    4.3821e-9 
           9.2    5.1974e-9 
           9.4    5.3333e-9 
           9.6    5.7069e-9 
           9.8    4.7897e-9 
            10    3.8046e-9 
          10.2    2.9893e-9 
          10.4    1.7664e-9 
          10.6    1.9023e-9 
          10.8    1.3588e-9 
            11    1.7664e-9 
          11.2   9.5115e-10 
          11.4   2.7176e-10 
